"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Seager, Corey","608369","2023","536",16.4,9.1,".419",".412",38,15.2,53.2,"103.543493485","96.785948962",25,55.1
"Bregman, Alex","608324","2023","724",12,12.7,".351",".351",35.8,5.4,38.2,"98.071537732","93.248960689",14.1,38.7
"Grisham, Trent","663757","2023","555",27.7,13.5,".299",".322",32.8,11.9,40,"100.701927386","94.880503967",28.3,41.6
"Hoerner, Nico","663538","2023","688",12.1,7.1,".322",".311",33.2,1.8,33.4,"97.320472852","92.695131651",12.4,45.6
"Suwinski, Jack","669261","2023","534",32.2,14,".341",".346",34.2,15.7,43.4,"102.173377122","95.316292734",30.1,39
"Drury, Brandon","592273","2023","523",26,4.8,".339",".318",35,11,46.3,"101.80875267","95.132794574",30.2,51.6
"Smith, Dominic","642086","2023","586",15.5,8,".306",".320",37,6.6,30.8,"97.225088721","92.631850959",19.9,49
"Arcia, Orlando","606115","2023","533",19.1,7.3,".321",".307",30.6,6.9,41.1,"99.189217927","93.735384508",24.3,46.2
"Anderson, Tim","641313","2023","524",23.3,5,".260",".279",32.4,2.9,39.4,"99.22965129","93.713640376",25.3,53.5
"Acuña Jr., Ronald","660670","2023","735",11.4,10.9,".428",".460",33.6,15.3,55.2,"106.368689571","98.157029125",18.7,46.2
"Tovar, Ezequiel","678662","2023","615",27,4.1,".298",".291",36.4,8.1,36.2,"99.019446394","93.628807036",31.3,59.7
"Arraez, Luis","650333","2023","617",5.5,5.7,".369",".354",44.7,3.5,25.7,"95.658900664","92.009454214",7.8,51
"Rutschman, Adley","668939","2023","687",14.7,13.4,".352",".373",37,7.5,38.6,"99.614450772","93.937278476",15.6,41
"Riley, Austin","663586","2023","715",24.1,8.3,".363",".365",35.2,13.9,49.2,"103.384251814","96.274145591",27.8,48.2
"Ruiz, Keibert","660688","2023","562",10.3,5.5,".310",".322",39.4,5.8,31.9,"97.263733176","92.681495075",14.3,51.1
"Torkelson, Spencer","679529","2023","684",25,9.8,".326",".349",33.2,14.1,50.9,"102.691928356","96.002045502",24.7,46.2
"Ohtani, Shohei","660271","2023","599",23.9,15.2,".433",".427",35.6,19.6,54.2,"105.748559101","97.769057809",32.3,48.2
"McKinstry, Zach","656716","2023","518",21.8,8.5,".289",".312",37.1,7.6,33.5,"97.726678239","92.940971652",20.4,47.3
